Location,Temperature (C),Humidity (%),Wind Speed (km/h),Precipitation (mm),Pressure (hPa),Storm Intensity,Storm Duration (hours),Lightning Activity,Outage Duration (hours),Outage Severity
North Carolina,8.56428562361004,51.24548947476458,110.53697979562739,315.02495101850764,1028.4853533037242,Category 3,21.59411120426472,59,20.054074063105613,Severe
Georgia,34.15681649475503,69.35010928440744,104.0980604728979,321.98379962676114,951.1752259597985,Tropical Storm,15.660537382419179,95,7.906365262585284,Moderate
Texas,3.5585948100890636,92.30118857928471,50.5274995403065,140.57575170732295,1018.7793261414558,Hailstorm,13.545799706486799,4,15.61496851410936,Severe
Ohio,43.68179842301121,18.110226964073007,15.60258776926532,492.83047872840217,981.9065155219655,Tropical Storm,25.99082763041682,34,3.481705546432173,Moderate
North Carolina,8.964968426039338,79.34333078071269,86.0583822551364,32.08310905554246,972.4222139889418,Category 3,23.21244915608976,10,23.308423220640197,Severe
Texas,8.552102478317519,65.51351959380176,86.43799426328884,303.93600549575916,1030.1241366358672,Category 2,23.134423661764416,41,2.337640326164395,Moderate
Georgia,7.155154804518787,63.87734609468752,142.8355928123616,239.77196372859456,958.9221211188185,Category 2,4.230803092949534,79,11.078017498342454,Moderate
California,-3.2838666241641636,36.328638563341286,66.3856209992564,122.74205357363732,972.8460045099141,Hailstorm,38.51127268930256,90,13.346842567380536,Severe
Virginia,-3.8874568967393177,71.55040192999093,103.62114364591025,81.77585566147322,970.3734341099778,Tropical Storm,23.10908713707817,19,19.18108090925737,Severe
North Carolina,25.645776899376784,81.53179793386988,86.24559410950826,368.5421790794932,991.9825445059702,Category 2,39.40347977768997,50,3.7859558926656884,Moderate
Michigan,38.13149245069258,20.157234844932745,26.51403436515739,458.1574372405932,982.2336784557261,None,39.58054279444561,0,0.0,Moderate
California,33.47862806494204,58.016928788288546,88.8096461632375,53.77313097736119,1022.046831710967,Category 1,15.222495592706073,89,7.893366099499404,Moderate
Virginia,-2.23908232882569,19.11386628886687,81.01750640442302,96.99010605300273,1019.9369880601477,Category 2,0.20862258276539336,10,8.176246460946821,Moderate
Florida,20.007016698563653,88.53166173678801,74.08589908640333,493.1348736477827,982.5470891106039,None,43.739792517989684,60,0.0,Moderate
Illinois,-4.1924649712848,55.687305039071255,77.01344004727122,7.511337118937311,993.6980776145796,Category 2,36.51334526813953,78,1.1256017357321624,Moderate
New York,-7.508794601280741,82.71691203346816,24.598195793830573,254.12598482646166,970.7908184179773,Thunderstorm,5.148093927526613,38,18.228923750727226,Severe
Michigan,26.101222266162196,43.12770738995928,69.52165968460017,258.05642504090713,1017.083490049627,Tropical Storm,33.682897632148865,47,19.63916389283144,Severe
Florida,19.43337835241927,21.257040413469287,90.84799077323952,131.58076257288693,989.6222740132575,Tropical Storm,0.9611168961062688,81,21.731331608367586,Severe
Georgia,-5.488697313369103,13.734937394714033,73.41737980283091,331.5144402218304,963.2826104442215,None,1.3324353225935273,87,0.0,Moderate
Florida,-8.078341447670635,35.335865869513796,73.3029292689221,472.47045321350686,962.7265491911511,Category 1,25.23951550069644,27,8.669472550261549,Moderate
Illinois,44.436602737513404,31.98103303276707,11.627656468947867,225.10696547828857,982.2320678421175,Category 1,4.609796603344638,88,10.826398848624025,Moderate
Georgia,-8.348826731801047,60.43167766179656,28.61612280250795,374.70975270059523,1024.7325028636196,Category 1,46.28815307927611,86,23.303929892610874,Severe
Michigan,14.449053917758778,11.956495425733662,48.1459039163251,323.0351296357291,952.5504336131501,Tropical Storm,42.9038988792126,74,21.267297008024602,Severe
Illinois,17.754046353423256,56.8513489869256,62.90204908888599,236.47093177085742,975.7774693182882,Thunderstorm,31.19097749989847,96,11.661095909287166,Moderate
Texas,-3.5495918709755223,45.25945678108028,89.09061657879064,24.906149901602337,966.2486158888757,Thunderstorm,3.0580306002390376,79,22.690449163551214,Severe
New York,-0.7016021858156058,61.941004292299795,129.5017656784591,370.87490247863764,1045.6477821305614,Category 3,15.592092374739126,35,19.927962134348554,Severe
Michigan,9.34927535256939,73.21757753353282,23.874710713298093,181.62572356073147,1020.5281603971026,Tropical Storm,17.842703899490107,86,21.72506681817528,Severe
Texas,31.892173191751446,67.0682750571855,2.2632045316042406,112.24734420121047,973.3232684118946,Category 3,23.082232119777583,69,16.70847639524618,Severe
Virginia,17.88953332331467,98.61799324360297,67.38556961638736,474.13432489408524,970.7460585436195,Category 2,8.107337952309706,61,20.726042999625886,Severe
Michigan,25.084603100412885,22.443880948918395,64.81543461174422,386.751384773581,1035.8030545387276,Category 1,27.720558854265406,87,21.510621250689493,Severe
Virginia,44.18460052998711,48.67633080368007,82.78518277427585,481.13434083846823,969.0226696416413,Category 3,20.916991099642715,69,3.1163814444354423,Moderate
Georgia,32.24029894222653,48.234766297898005,124.98326570572509,128.10846608279502,1049.7059200197227,Hailstorm,45.47025424285721,9,23.199990463195146,Severe
Texas,13.889882397766975,47.53478833326286,120.3540826473717,417.8966637889436,978.23031200114,Category 3,44.93737102201052,85,8.673101271573456,Moderate
New York,14.554305698810179,69.74185528384015,15.00649266450168,303.8607021309846,958.4332714869535,Tropical Storm,27.142749856318673,86,11.117688720417176,Moderate
Illinois,24.032464237255276,54.08452544920502,140.09930500150105,490.7518446516098,1019.0941894016858,Category 1,30.92876812754569,4,19.21378646143475,Severe
Ohio,26.595086463039742,56.56893038316668,16.562159201166704,473.1584728068287,1010.9642792584174,Category 1,6.614230453139637,27,16.292615028167447,Severe
Florida,17.53910092101692,48.91203929320882,95.18557628013542,486.4840224713512,1049.9822165361456,Thunderstorm,10.719515464328236,58,21.54037798602932,Severe
California,25.4673672548239,99.25295149167063,100.86094403933636,475.88380916997096,1030.2085744371975,Category 3,43.234339401691656,8,10.21319626786576,Moderate
New York,-8.705712807224568,93.4805213937138,101.98162308346322,3.8304334452194944,992.8836533133239,Thunderstorm,33.55996429899528,38,9.585627764551647,Moderate
Texas,13.629257514326426,37.69517704279339,39.802675751308634,370.5427050753447,1017.6611448163084,Category 3,9.092649469587721,91,1.7288435394503525,Moderate
Ohio,5.341594184041222,20.043453229000047,49.55176376474879,135.96728060482087,1031.7849453603353,Tropical Storm,27.370094691514698,61,11.642683663402135,Moderate
New York,-2.895405511628929,85.57882516347426,82.30153127240953,352.51354777626403,1001.3726525443295,Tropical Storm,44.86854002349355,88,17.6536277175695,Severe
Texas,-4.524941795517368,99.74532262831521,29.93812437001476,490.30560062695434,977.2871450735212,Category 2,16.568213095771373,37,7.927110505402969,Moderate
North Carolina,23.175569108806712,36.3348004635681,3.046570175002683,19.67969534937941,971.010564228637,Category 3,8.919378024916092,90,11.642709814498353,Moderate
North Carolina,18.798030093393646,42.20064332575896,84.32166817628635,283.4939162196752,979.5281436613615,Category 3,45.21721329163672,23,6.046148675161395,Moderate
Virginia,3.947126434800305,94.74698633366826,69.7917858018011,367.47657905838463,1034.8068781669806,Category 1,22.14073729402076,63,18.774119535043596,Severe
New York,15.902253232488299,74.00165662027808,98.5096809335193,126.67939110740345,988.0432372488735,None,20.02761593581279,42,0.0,Moderate
North Carolina,17.072777335032455,36.60744986016725,22.00508637504899,112.56096853357123,978.6664158566317,Category 1,12.843225590052011,15,17.22381026501146,Severe
Texas,0.7254939241238691,62.294184215552356,126.13873418847771,30.172752700940496,1030.588722779508,None,42.796094157462925,65,0.0,Moderate
Virginia,25.865118403490783,94.98066214278305,21.933223269079093,46.959928584037804,953.1920341774544,Thunderstorm,40.589604810699605,65,1.9567095959037784,Moderate
Texas,32.95056460123497,83.06317962512007,133.70154073200354,328.37495542418077,1009.3958270930342,Category 2,19.343539172964196,68,20.629800507711074,Severe
Virginia,33.530494748923545,76.76494423557936,67.42817588935546,252.60530951597542,1037.3631803186272,Tropical Storm,1.4694374350597847,45,12.217602853166799,Severe
New York,23.13584068869003,76.32966805543202,82.47078890590421,15.036113740972967,991.0083749055607,Category 3,21.439268664294698,20,14.784336301170969,Severe
Ohio,18.140122038545773,26.02182918630433,134.48720039459832,484.83087937638294,976.9318161359284,Thunderstorm,8.681184795842558,59,17.83670590506251,Severe
Illinois,-6.644607134703281,84.22131153051428,44.98695727156005,328.0229347444025,999.1709069435956,Category 2,6.851235367146296,9,16.06671195902734,Severe
Michigan,5.8307214368383224,34.85067691991124,27.274049436172724,257.7342845080042,1021.747716769208,Category 1,18.86849337098033,17,17.80970802873607,Severe
Ohio,-4.870070427200655,93.73299921113765,66.86274312291805,136.36211831321165,1001.6605563035199,Category 2,4.755692992542105,89,18.532478745290728,Severe
Georgia,43.010273848316054,42.81759919124047,36.655084279156014,329.04944240375164,950.7638994625773,Thunderstorm,45.95829633271992,83,14.550485202986051,Severe
Texas,-2.5705919575831615,87.18943573380308,79.17658673104756,182.08393144135638,957.8324556108016,Tropical Storm,2.2818807255015265,40,9.409670110878404,Moderate
Georgia,-1.6523524581893874,33.961014506602126,41.28867966664747,351.2470813312448,1022.1328423089701,Category 1,19.265742115138906,35,6.59226944347588,Moderate
Ohio,38.92671400817707,56.30742429240164,129.67343033931854,341.28596015338206,989.9951334875499,Hailstorm,7.809729697521355,84,21.766774443014103,Severe
Virginia,41.91605559120518,19.619676594015452,91.09868883865889,46.37189756206467,1028.4775831270235,Category 1,33.0629434333803,65,23.308271426679067,Severe
Michigan,32.120597157920045,69.41070126965566,0.03610046143533996,454.63035415549587,1014.9489914105909,Tropical Storm,3.7829495622989633,45,9.226243367258805,Moderate
Michigan,-9.702729198003157,85.24713476501545,120.82106020197371,243.48712580084063,1008.1515834321879,None,26.246667562014444,96,0.0,Moderate
California,-9.925955097388997,74.66025531721745,49.531850508921885,196.47246948327697,1040.137516837841,Category 1,37.108871769693,22,6.118358523677919,Moderate
Michigan,10.795542338309794,57.09326616447916,48.031197623243564,477.7310718143893,952.1322073480712,Thunderstorm,45.60287208235059,38,16.42534895770536,Severe
Illinois,-2.1132546494009112,14.060429074131354,57.45942182017011,219.1046405556058,965.5034361397802,None,33.529323022531806,94,0.0,Moderate
Michigan,-8.98876218166215,94.00969064537726,94.5393792126121,360.6104584515322,1012.4375955491976,Category 1,4.7756043664600085,3,18.942812280402727,Severe
Ohio,15.523667917247757,73.49405937207712,66.30910655913345,327.5682386249181,956.5828046550096,Category 3,4.248986386278769,40,22.22969551711841,Severe
California,41.86840435738343,77.12778145287997,94.29533198545536,82.57004904152832,1014.4970485060692,Category 2,35.11670632982716,2,23.163984846813484,Severe
Ohio,7.810076619633726,81.52125179597265,22.017108245368856,495.5713868715685,1048.4121077025268,None,10.335811440166495,52,0.0,Moderate
Ohio,26.362737313578307,77.29690833348496,145.52466967861287,231.80216114544334,1037.8808098994534,Thunderstorm,21.46748681439594,73,23.037545793951583,Severe
Florida,25.87294442228424,49.70045476885003,109.44094306257958,197.39128620865426,1009.0916924025429,Tropical Storm,46.87781286486523,95,18.024471639981208,Severe
California,3.809405701584227,76.02596463591522,37.531066076757455,459.8067463766151,1039.3976674305961,Thunderstorm,39.35552632338603,35,2.933155342067452,Moderate
Ohio,25.77338868531254,66.2524109029296,108.62548621121638,264.61916828855504,961.6268151266265,Category 3,40.63648115040963,48,10.550530781910709,Moderate
Florida,1.678368585779019,86.86147003019079,86.2538184392459,352.5384809646562,995.4694164925564,None,41.31695542694778,26,0.0,Moderate
Florida,-3.2895922532711026,82.22138338036333,16.378349460527197,423.1230236310055,992.8676115812076,Category 1,29.73817632583478,52,23.003766331204133,Severe
California,28.576080705782957,13.72369442205339,26.729464018218913,117.74719786225918,983.6447586992991,Category 1,35.70882834539896,48,4.7752520530620295,Moderate
Georgia,-3.7607550592845795,44.099838129934476,6.196221288219722,84.73329259726475,950.020139813431,Hailstorm,17.23012390244579,82,3.937865484319942,Moderate
Virginia,44.83000702241454,13.12445369655051,121.38571075120217,34.253402795502986,1039.1029018611252,Thunderstorm,47.92541887549684,0,11.863982225023207,Moderate
Illinois,0.08988206326261228,19.186743228948814,82.75571288928525,448.5666496230327,1027.7706610152795,Category 1,13.421864143422962,89,23.26627455598525,Severe
Virginia,22.677802451605167,64.12696498032503,47.51229729753179,100.18354737157436,1015.2857515599788,Category 1,28.32035535856894,45,23.341721950934243,Severe
Michigan,12.625601427692416,88.6439639046028,18.951735304230006,153.87702203219695,962.8966843851634,Category 3,13.53896055941728,61,6.242039044216915,Moderate
Illinois,-3.048746767688309,20.78422828383405,72.60688139405687,142.90346303947555,987.8205133691504,Tropical Storm,5.379410426883512,76,8.344984403343519,Moderate
Michigan,-8.468585083242264,50.59803587201484,78.78920200769082,152.29399376119744,1042.4326997367832,Hailstorm,27.244119112496477,98,21.88473566982705,Severe
Ohio,24.25027552610583,91.97910143257994,105.2922751470758,334.0305634143592,1011.6929605069547,Hailstorm,16.960736201574708,65,17.901354289597478,Severe
Texas,34.37166600840194,83.2870885304429,145.4905815670637,477.0567793702691,1010.3410536526025,Hailstorm,27.99452484112261,21,23.36327785912522,Severe
California,36.31086138287092,56.770110681933694,65.2418295611062,164.7267179787702,1041.3126574757034,None,26.816566879919655,38,0.0,Moderate
Illinois,16.549241019231395,79.4414295395948,60.905130989155396,203.8235773293484,1005.9833724899638,Category 2,26.028322998890957,91,5.947209157216097,Moderate
Illinois,32.760050695031204,57.04243966400833,55.489500688518376,385.5734920543056,1009.7623248556979,Thunderstorm,5.918453858233413,43,18.473717766491717,Severe
Ohio,27.00659234186996,24.22831035545639,124.03858634502916,216.16897209384294,984.5715694476218,Tropical Storm,21.12867716881714,1,2.1170003258826817,Moderate
Georgia,29.833999012452324,21.22625018995112,23.447583209885682,463.0213839630237,987.1440929232372,Category 2,38.976189091142004,74,19.810153911053902,Severe
Florida,17.092945287199775,26.95314088603628,51.571935545263415,251.60902537260827,1018.5606862414153,Tropical Storm,15.12688778614252,58,14.835805536225987,Severe
Ohio,24.837645713316988,41.58298854691115,108.74562073130863,173.8674278818077,982.0435216631312,Thunderstorm,21.303912254019128,89,22.990322140638618,Severe
North Carolina,34.303925246683136,93.74763409066168,2.354240301366972,485.78624186713483,1005.910792058785,Hailstorm,23.703916335372867,27,23.080746475788803,Severe
Florida,11.883629655636266,81.97105722882412,43.4071085408542,212.89093803208996,977.9196691156579,Category 3,41.41110300440375,89,2.168747507560171,Moderate
California,34.3288395477171,48.95214051036858,96.21707441320648,115.58743559402129,966.6125237954445,Category 3,31.46878892284891,80,4.69199416778266,Moderate
Florida,22.560926353398457,54.37690388088166,27.892814700120706,88.85040739476646,995.4402458938702,Category 3,4.809721672191072,66,12.136762088329906,Severe
Georgia,-0.8754436596067574,33.904851189977336,45.40658536864068,497.5906629141628,971.7446012414107,Tropical Storm,41.52820731864102,13,21.22835107376143,Severe
Florida,-8.642371352647846,73.39176608249171,72.90676117248438,376.4938465644246,1039.849430508154,Thunderstorm,39.93916682314032,15,19.732238272809298,Severe
California,9.951448021953365,82.24891043158343,63.303534895453076,204.32989872759038,980.3612965827033,Category 1,36.17500706876042,50,23.18051060609091,Severe
Georgia,20.06829805629869,31.50142261008189,15.904078493306828,413.181671426095,1009.7402095539321,Category 1,22.370784879304207,99,15.215934693560838,Severe
Virginia,36.19011937119186,13.763946140781883,140.73529833834488,273.40306475724253,976.3441840545204,Category 3,36.36217840731872,27,6.900960949917274,Moderate
Illinois,-2.9882875922864596,66.15000488466734,6.643908087313916,158.69478681663622,975.8019262724766,None,22.979619006852346,91,0.0,Moderate
Illinois,34.011349122596854,60.626090722178496,112.46141346342269,371.6929043679797,985.0636081478408,Tropical Storm,35.35792964770382,52,6.1273092865726255,Moderate
Michigan,37.46549753369748,46.191803952598875,10.71341566367362,372.9473694415759,1041.587456732095,Category 1,42.24528791868174,51,16.531283552933367,Severe
Virginia,-1.712188214954141,67.95045475958892,70.0943704537619,250.08461459206748,989.1497738285267,Tropical Storm,42.74599608626865,24,22.3043209368893,Severe
Virginia,36.83768756173205,59.55519681866292,26.311693748311654,22.579170177748185,1032.1266469424145,Thunderstorm,21.819771560997822,56,8.38078434809009,Moderate
Florida,44.52994623135356,32.55234189347735,21.164669464338793,38.51124328683381,969.7298074538433,None,41.248448608897405,8,0.0,Moderate
Illinois,29.976135707653064,45.79560780604501,18.88469648125876,394.3747395006356,954.8169543136431,None,4.8699542643702305,10,0.0,Moderate
California,33.16233250037434,48.530221277251755,67.91799550430136,411.7381879941066,1028.167792130144,Category 3,4.887332039365489,44,8.090238735476657,Moderate
New York,44.69283971573804,89.22231950280073,77.32273640809385,339.14487428859115,1004.1874897457101,Category 2,26.316813449639042,84,12.703417584533815,Severe
New York,23.301468778926996,96.48137387160635,20.00767403142598,419.5342877088415,1000.3725813026922,Category 3,31.28854168590091,1,11.17229032542115,Moderate
Georgia,6.933751010893719,90.37012261568474,146.90935953993593,359.74373517880605,977.2205849249414,Category 2,7.343701246963329,53,22.017396975891415,Severe
Illinois,36.06419587418306,74.72602216467817,38.66488302933347,448.467310254458,957.2317014859352,None,22.664642150687662,33,0.0,Moderate
Illinois,23.796717763139718,62.649346024523965,68.82620094041748,75.19913630664016,998.2860036332846,Category 1,4.529408055164307,41,7.378713906130736,Moderate
New York,21.96574830465261,72.03354719193595,32.4404336402862,193.87076416343675,1036.7226358799371,None,28.9007753065589,76,0.0,Moderate
Illinois,3.9499555532721047,94.51982986594201,74.08839681743183,232.0553969454096,962.0022013703485,Hailstorm,41.044513764136695,68,23.971238768170036,Severe
Florida,31.598384827058766,32.49988617014486,113.4024873697773,148.8318973791068,1042.9170879347173,Category 2,35.40667084893714,10,15.90794264117045,Severe
North Carolina,-5.508299827694706,58.16084569060644,78.16530214417428,362.68322407472203,977.4729080241615,Hailstorm,18.157994516605022,28,6.7606114855362485,Moderate
Texas,40.835788893706365,72.06472171003671,42.84733060770829,456.2194063445701,1003.2186292828662,Tropical Storm,47.70210223858184,91,6.492746771303123,Moderate
Virginia,7.92029034237666,71.13223011918473,37.259491310090716,206.24109963463815,956.6508395466582,None,31.820878870374564,91,0.0,Moderate
Michigan,-2.9723940965505253,32.705106361915284,113.84016093405802,470.7709822989833,992.5046593802646,Hailstorm,39.131924853239,4,2.777739885823952,Moderate
Georgia,14.330159320633033,62.805837465077666,17.73572635893949,258.38445357202835,962.5897886407164,Category 2,32.14547459000317,19,22.044611189203536,Severe
North Carolina,-7.664154990890676,81.63218281781408,55.494974160880425,261.2578134080256,954.7973786077207,Category 1,47.491981972182074,38,3.219203462139663,Moderate
New York,27.654440684573146,52.75710820452195,22.722407498082802,300.10977033887826,1046.6557693427649,Category 1,39.4252688264531,73,12.139908510365911,Severe
Virginia,39.64880307449459,81.39682690288615,38.69637439417229,134.1655325596627,1023.0094535464133,None,24.932314458981146,31,0.0,Moderate
Illinois,36.04946539261798,42.38943379790993,22.90248487274283,191.6802595675185,1021.9057721013661,Category 3,17.61021901620431,28,20.55816000379287,Severe
Michigan,-2.9946789603665405,94.4884114447383,133.015876281364,276.61872644274735,959.0549689483752,Category 1,32.74343179914443,65,4.939231855835728,Moderate
Illinois,-3.0550874590747483,58.05355964491909,109.78562985195478,470.99144278663084,1042.9350524487743,Tropical Storm,28.330646822736426,0,11.068909619883208,Moderate
California,34.73889652783453,63.63531557133529,84.1390869066392,321.3462892276092,996.9468515009886,Category 2,30.208828369322177,83,6.784044485316882,Moderate
California,40.83398510317138,12.822541192412956,33.66378337432997,166.55827894435475,1035.2284068057431,Thunderstorm,16.464564781620332,0,6.883931069231838,Moderate
Michigan,15.336840640841903,25.32422234157348,76.53402407987923,5.234286658251319,951.2601101113771,Category 1,20.578964187386617,3,7.988304072193545,Moderate
Michigan,17.443411430257125,66.96404924239403,78.12498096713585,490.83282496495286,979.8206481337506,Hailstorm,26.78863559475119,14,14.503672931624747,Severe
New York,7.504412276214925,47.78833346040442,88.56055884808593,246.49227890919772,1049.6047122126465,Category 2,40.28560329224847,46,1.3812818487685288,Moderate
Michigan,39.184581504102766,55.73474114123572,9.012773583409716,469.2475791653855,992.7838042695399,Category 3,36.61962805261935,29,10.401624585257142,Moderate
Florida,25.46965979107958,15.66742678603304,145.93529567950594,274.6726169175264,1038.8493538864354,Thunderstorm,5.695481784133937,5,5.297093110354229,Moderate
Illinois,5.8538367442052675,85.07217145693458,69.81584559004847,302.73243011114437,982.799834837104,Category 3,11.786604000930806,0,23.2437256957906,Severe
North Carolina,6.433057907983837,80.60550420665955,138.9797661148655,355.95612795198605,1002.5329132268206,Tropical Storm,1.2795707967853165,70,14.402770662757138,Severe
Ohio,39.01600401849813,26.681857814966456,1.4712172070964535,160.4878668322028,1035.421906592596,Category 3,0.3821072623483879,61,20.96619578309742,Severe
Michigan,-9.250128685179819,67.08964215316414,37.13375934529633,349.49198033751725,1010.5820560203936,Category 2,10.770022525451605,63,5.500869695701077,Moderate
Georgia,7.749961499965114,83.64836904888445,15.599335547000342,263.39595492569185,1022.5192342644712,Thunderstorm,38.367405504447824,4,19.63036108444712,Severe
California,20.4896174669003,67.67687227740399,115.44242660321574,336.23997479125336,972.8833204219565,None,43.42788759237058,53,0.0,Moderate
Florida,-1.8480395845371458,37.93582857662604,48.01875743920668,417.91663045492,965.5890437455139,Category 3,18.80488156313271,48,5.086977843536256,Moderate
Virginia,-4.934568519022561,69.05000354303505,126.07387626236205,92.11456513599198,973.0306443409656,Category 3,27.033532637120572,6,18.508639654929354,Severe
Ohio,34.8401982099808,28.9415572914891,124.85780485737854,306.77545516787984,999.3048646287057,None,33.89052489385828,99,0.0,Moderate
North Carolina,39.1922413756679,38.64294975514788,100.16921892098547,26.05566430491829,1030.0964764767818,Hailstorm,45.74096156408287,2,23.905421857873403,Severe
Ohio,35.29835314390042,31.60626877964608,99.86727053159656,51.05754447451844,985.3993850476267,Hailstorm,43.82074739027672,75,18.961557021357773,Severe
Michigan,39.433333935554124,60.12325921511859,105.02395381097026,337.2971178677935,1006.4815781991971,Tropical Storm,2.7452305623062365,60,4.341146702323941,Moderate
New York,20.421158408210434,19.740398208899375,101.06457519446617,35.46882590415973,1030.4812460978237,None,11.911960474045479,78,0.0,Moderate
California,34.6741966544688,93.99793423135048,58.036253652652356,297.6788899069869,973.8776466092642,None,2.3589381098485003,83,0.0,Moderate
California,11.122345111510523,40.016111829658016,102.4241466852819,110.00629932569272,1038.297573491981,Category 2,29.594036207474463,40,3.9130145313252873,Moderate
Virginia,26.64473238134712,29.70731143952212,134.6110453788538,152.042414255874,1045.3082312222384,Category 3,34.10367919068668,20,19.124896412299723,Severe
New York,44.385954226404046,54.68948322416481,49.88602378149355,64.8182510737132,953.8970135799321,Category 2,14.79760379311255,31,13.11406637198949,Severe
Illinois,2.4150248111520085,34.92980366092445,141.73335393224303,124.33374308641964,955.9111110084788,Category 1,40.9848915903943,11,22.72234008920233,Severe
Texas,11.444486046009434,58.14136777443799,2.0372381848154597,410.645892409664,959.0959718746217,Tropical Storm,21.735012019751892,6,14.554087324093866,Severe
Florida,16.402605752054708,41.36582348038769,52.36238073978557,319.43920280326375,1027.6768408509645,Hailstorm,47.92231272465661,50,13.026678925979839,Severe
California,-2.409148213897155,21.886012969213674,19.814760259311033,474.87989735642736,968.9336945178977,None,0.019185244287596603,44,0.0,Moderate
Georgia,-5.542876424421877,33.93057178245358,18.99297435675355,24.37242767687764,1022.5695986465907,Tropical Storm,5.255506004090719,94,4.4349558137252885,Moderate
California,35.63475764768934,49.45958604653727,122.31442410173524,396.2059985920343,994.1276069871886,Tropical Storm,14.486075660896338,64,20.539099765575475,Severe
Ohio,43.72369050551724,12.726390383166306,137.75524721251844,349.5385916397123,1033.6255009371403,Category 2,1.2243647017782315,59,23.78554748999359,Severe
California,12.259878510631228,79.35782743132857,116.66373813494785,130.446152598768,1030.8555412804262,None,37.552293971436036,74,0.0,Moderate
California,-5.17925900929407,65.96421081313741,146.49235784888398,364.58335140529226,1045.9662561382447,Hailstorm,2.5330458178217867,44,19.63197992567337,Severe
Texas,-6.380353162018293,64.12236465505188,32.44934552494061,358.2742749573101,975.103785047641,Hailstorm,35.9510223981037,33,15.434472625604991,Severe
Texas,39.02250134981643,59.14449386944894,21.11998683145357,229.67260152937192,972.9239162772033,Category 3,2.5232860218983717,82,23.058363294449414,Severe
North Carolina,15.509783735022395,63.12818550925617,78.10556730594203,344.3198094268545,953.1507975288599,Category 3,12.13090870334619,10,6.477156415214145,Moderate
Illinois,7.601502410931555,94.11867574364985,124.35564221139269,222.29045150753262,991.0416095426528,Category 2,40.38128715160942,96,13.53122208918269,Severe
Georgia,16.205369918166973,10.771228972966663,5.975863625708955,167.77279802893608,995.9063168755417,Category 2,45.65257412341076,32,10.402303821879698,Moderate
California,7.506725208079104,14.301973869197434,149.3348491499823,233.24548016845807,1046.4513833429437,Category 1,19.897264447704586,7,13.45946744668935,Severe
California,16.8969676419191,27.23440689377221,90.33688938079843,447.5647407463956,1033.0785294171974,Thunderstorm,46.55707028700246,44,7.183735918633669,Moderate
Florida,37.27560183048653,25.05712419938351,146.8412718272066,192.2918964301091,966.6791718049924,Thunderstorm,30.090284340410044,71,12.448161742462112,Severe
Texas,22.576575408415266,26.30750135222644,54.762244985066545,201.84408872833194,1029.84893626082,Tropical Storm,19.96008587678071,97,15.370495374669598,Severe
Georgia,28.20595750455965,70.47494972637851,68.70357308003838,304.20161381102514,967.8299280835756,Category 3,38.53446451046001,90,2.867965331988318,Moderate
Virginia,10.05688719288851,51.35349709451488,112.85421635960881,376.49973771681067,957.7765069857777,Hailstorm,14.175768966729656,92,18.088706860575332,Severe
North Carolina,30.61782331807853,99.26009905012238,118.9050675841978,367.3104301555782,1033.7082751456737,None,12.758220545290483,77,0.0,Moderate
